pernak,pernak,per-nak lihat pernik
perompak,perompak,pe-rom-pak lihat 1rompak
perponding,perponding,per-pon-ding lihat tanah
pertepel,pertepel,per-te-pel lihat portofolio
petantang-petenteng,petantang-petenteng,pe-tan-tang-pe-ten-teng /petantang-peténténg/ lihat petenteng
petilasan,petilasan,pe-ti-las-an lihat tilas
petinggi,petinggi,pe-ting-gi lihat tinggi
petola,petola [1],pe-to-la^[1] lihat kain
peturun,peturun,pe-tu-run lihat harimau
pinis,pinis [2],pi-nis^[2] lihat tempinis
qudsi,qudsi,qudsi lihat hadis
randah,randah,ran-dah lihat pindah
remiak,remiak,re-mi-ak lihat 1riak
rempuk,rempuk,rem-puk lihat rembuk
rempus,rempus,rem-pus lihat rampus
reramuan,reramuan,re-ra-mu-an lihat ramu
rerangka,rerangka,re-rang-ka lihat rangka
reranting,reranting,re-ran-ting lihat ranting
rerongkong,rerongkong,re-rong-kong lihat rongkong
roi,roi,roi lihat 1garis
rok,rok [2],rok^[2] lihat musik
roma,roma [1],ro-ma^[1] lihat bulu
roman,roman [4],ro-man^[4] lihat huruf
sahkan,sahkan,sah-kan lihat usah
sakat,sakat [3],sa-kat ^[3]lihat suku
sambet,sambet,sam-bet lihat kesambet
samidra,samidra,sa-mid-ra lihat kayu
samin,samin,sa-min lihat minyak
sampa,sampa [1],sam-pa^[1] lihat ubi
sampat,sampat,sam-pat lihat mandi
sandel,sandel,san-del lihat kuda
sangga mara,sangga mara,sang-ga ma-ra lihat 1sangga
sapi,sapi [2],sa-pi^[2] lihat pohon
sarikan,sarikan,sa-ri-kan lihat akar
sasakala,sasakala,sa-sa-ka-la lihat dongeng
sasap,sasap [3],sa-sap ^[3]lihat susup
sasian,sasian,sa-si-an lihat anak
satir,satir [3],sa-tir ^[3]lihat sumpah
saut,saut,sa-ut lihat akar
sawa,sawa,sa-wa lihat ular
sawit,sawit [1],sa-wit^[1] lihat kelapa
sayet,sayet,sa-yet /sayét/ lihat benang
seantero,seantero,se-an-te-ro /seantéro/ lihat antero
sebelah,sebelah,se-be-lah lihat belah
sebelas,sebelas,se-be-las lihat 2belas
sebeng,sebeng,se-beng /sébéng/ lihat layat
sega,sega [2],se-ga^[2] lihat nasi
segenap,segenap,se-ge-nap lihat genap
seia,seia,se-ia lihat 2ia
sejati,sejati,se-ja-ti lihat 1jati
sejenak,sejenak,se-je-nak lihat 1jenak
sejurus,sejurus,se-ju-rus lihat 1jurus
sek,sek,sek /sék/ lihat tembakau
sekadar,sekadar,se-ka-dar lihat 1kadar
sekelebatan,sekelebatan,se-ke-le-bat-an /sekelébatan/ lihat kelebat
sekelumit,sekelumit,se-ke-lu-mit lihat kelumit
sekian,sekian,se-ki-an lihat kian
sekitar,sekitar,se-ki-tar lihat kitar
sekuas,sekuas,se-ku-as lihat lemon
selagi,selagi,se-la-gi lihat lagi
selaku,selaku,se-la-ku lihat laku
selangka,selangka,se-lang-ka lihat tulang
selar,selar [2],se-lar^[2] lihat ikan
selaras,selaras,se-la-ras lihat 1laras
selaya(k),selaya(k),se-la-ya(k) lihat burung
selempuri,selempuri,se-lem-pu-ri lihat kain
selerang,selerang [2],se-le-rang^[2] /selérang/ lihat tenun
seleret,seleret,se-le-ret /selérét/ lihat rumah
selibu,selibu,se-li-bu lihat padi
sema-sema,sema-sema,se-ma-se-ma lihat sema
semarai,semarai [2],se-ma-rai^[2] lihat sorak
sembilik,sembilik,sem-bi-lik lihat puru
sempada,sempada,sem-pa-da lihat ketam
senawan,senawan,se-na-wan lihat ular
senawar,senawar,se-na-war lihat pinang
sendalu,sendalu,sen-da-lu lihat angin
sendok,sendok [2],sen-dok^[2] /séndok/ lihat daun
sengkil,sengkil,seng-kil lihat duduk
seni,seni [4],se-ni^[4] lihat 1ular
sentagi,sentagi [2],sen-ta-gi^[2] lihat akar
sentana,sentana [2],sen-ta-na^[2] lihat kalau
sentung,sentung [1],sen-tung^[1] Mk lihat 1santung
sentung,sentung [2],sen-tung^[2] Mk n lihat 2santung
seolah-olah,seolah-olah,se-o-lah-o-lah lihat 1olah
sepat,sepat [3],se-pat^[3] lihat kayu
sepatu,sepatu [2],se-pa-tu^[2] lihat 2kembang
sepenuh,sepenuh,se-pe-nuh lihat daun
sepukal,sepukal,se-pu-kal lihat keris
sepulih,sepulih,se-pu-lih lihat akar
seraga,seraga,se-ra-ga lihat bantal
serampu,serampu,se-ram-pu lihat 2sumpah
serapat,serapat,se-ra-pat lihat akar
serati,serati [2],se-ra-ti ^[2]lihat itik
serau,serau [2],se-rau ^[2]lihat akar
serawak,serawak [1],se-ra-wak ^[1]lihat batu
serbi,serbi,ser-bi lihat 2serba
serumat,serumat,se-ru-mat lihat akar
seruntun,seruntun,se-run-tun lihat akar
sesagon,sesagon,se-sa-gon lihat sagon
sesai,sesai,se-sai lihat uang
sesaing,sesaing,se-sa-ing lihat saing
sesajen,sesajen,se-sa-jen /sesajén/ lihat sajen
sesuai,sesuai,se-su-ai lihat suai
sesuatu,sesuatu,se-su-a-tu lihat suatu
sesumbar,sesumbar,se-sum-bar lihat sumbar
setara,setara,se-ta-ra lihat 1tara
setoka,setoka,se-to-ka lihat ikan
seyogianya,seyogianya,se-yo-gi-a-nya lihat yogia
siar,siar [5],si-ar^[5] lihat daun
sidik,sidik [3],si-dik^[3] lihat fajar
sika,sika,si-ka lihat baju
sikah,sikah,si-kah lihat rupiah
sikap,sikap [3],si-kap^[3] lihat burung
sikap,sikap [4],si-kap^[4] lihat baju
sikat,sikat [2],si-kat^[2] lihat pohon
silir,silir [3],si-lir^[3] lihat kemeja
sinar,sinar [2],si-nar^[2] lihat daun
sinatan,sinatan,si-na-tan lihat tamban
sineol,sineol,si-ne-ol /sinéol/ lihat enkaliptol
sintar,sintar [2],sin-tar^[2] lihat burung
sipat,sipat [4],si-pat^[4] lihat daun
sondek,sondek,son-dek /sondék/ lihat 1mayang
sorok,sorok,so-rok lihat pintu
sua,sua [2],sua^[2] lihat bulu
suai,suai [2],su-ai^[2] lihat 1tali
suak,suak [4],su-ak^[4] lihat bulu
suangi,suangi [2],su-a-ngi^[2] lihat burung
suari,suari [2],su-a-ri^[2] lihat bantal
sufah,sufah,su-fah lihat 2ahli
sulung,sulung [2],su-lung^[2] lihat akar
sumbel,sumbel,sum-bel lihat 1sungsang
sun,sun [1],sun^[1] lihat tembakau
sungsang,sungsang [2],sung-sang^[2] lihat kembang
suraya,suraya,su-ra-ya lihat bintang
suri,suri [4],su-ri^[4] lihat mati
suri,suri [5],su-ri^[5] lihat air
suri,suri [7],su-ri^[7] lihat mentimun
swagriya,swagriya,swa-gri-ya lihat kredit
swanggi,swanggi,swang-gi lihat daun
takeh,takeh,ta-keh /takéh/ lihat tekar
tanduk,tanduk [2],tan-duk^[2] lihat tindak
tangguh,tangguh [3],tang-guh^[3] lihat tenggang
tasyrik,tasyrik,tasy-rik lihat hari
tau,tau [2],tau^[2] lihat daun
telerang,telerang,te-le-rang /telérang/ lihat batu
temali,temali,te-ma-li lihat 1tali
temayun,temayun,te-ma-yun lihat ayun
tembu,tembu,tem-bu lihat kijang
temenggung,temenggung [2],te-meng-gung^[2] lihat ikan
temenggung,temenggung [3],te-meng-gung^[3] lihat semut
tohor,tohor [2],to-hor^[2] lihat kapur
tom,tom [2],tom^[2] lihat tarum
tongkeng,tongkeng [2],tong-keng^[2] /tongkéng/ lihat bunga
tongsan,tongsan,tong-san lihat pulang
triko,triko,tri-ko lihat kain
ulayat,ulayat [2],ula-yat^[2] lihat hak
unam,unam [2],unam^[2] lihat batu
utarid,utarid,Uta-rid lihat bintang
valentine,valentine,Va-len-tine /valéntin/ lihat hari
wregu,wregu,wre-gu lihat palem
x,x [2],X^[2] lihat sinar
yang-yang,yang-yang,yang-yang lihat akar
yuk,yuk [1],yuk^[1] lihat ukulele
zadah,zadah,za-dah lihat haram
zimi,zimi,zi-mi lihat kafir
